Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Bidhan Sarani Atlas Club,"101, Bidhan Sarani Rd, Fariapukur, Shyam Bazar, Kolkata, West Bengal 700004","22.599702, 88.372962",Shyambazar,4.7,North,Famous-for-lighting
Lake Market Jubak Brinda,"16A, Prince Golam Mohammed Rd, Manoharpukur, Kalighat, Kolkata 700026","22.517875, 88.348082",Kalighat,4.6,South,Traditional
Tridhara Sammilani,"107 Manoharpukur, Kalighat. Kolkata 700029","22.523941, 88.349188",Kalighat / Jatin Das Park,4.5,South,Award-winner
Dum Dum Tarun Dal,"Shyam Nagar Rd, Satgachi, Baguiati, South Dumdum 700055","22.612814, 88.415282",Satyajit Ray,4.6,South,Traditional
Laha Colony Bibek Sangha,11/12. Nagendra Nath Rd. Pratapaditya Nagar. Nagerbazar. Kolkata 700028,"22.619774, 88.417378",Dum Dum Cantonment,4.6,North,Traditional
Lake Avenue Sebak Sangha,"56. Dr TN Majumder St. Lake Range. Kalighat, Kolkata 700029","22.510470, 88.348087",Rabindra Sarobar / Kalighat,4.6,South,Traditional
Tala Barowari Durgotsab,Bonomali Chatterjee St. Bidhan Sarani. Kolkata 700002,"22.606741, 88.376209",Shyambazar,4.9,North,Award-winner
Bandhudal Sporting Club,"Nainan Para, Baranagar 700036","22.634037, 88.376133",Noapara / Dum Dum,4.9,North,Award-winner
Salkia Sanskriti Sangha,"SALKIA SANSKRITI SANGHA, Kolkata (FFD Member 2025)","22.599353, 88.341264",Howrah Maidan Metro,4.9,Howrah,Award-winner
Hb Block Residents Association,"HB BLOCK RESIDENTS ASSOCIATION, Kolkata (FFD Member 2025)","22.574105, 88.415546",Salt Lake Sector-V,4.8,East,Community-favorite
Kanungo Park Recreation Club & Liabrary,"Milan Park. Kanungo Park, Garia, Kolkata 700084","22.468348, 88.378256",Kavi Nazrul,4.9,South,Award-winner
Haridevpur Apanjan Club,"Haridevpur. Paschim Putiary, Kolkata 700082","22.479414, 88.335573",Netaji,4.8,South,Community-favorite
East End Park Sarbojanin Durgotsab Committee,"EAST END PARK SARBOJANIN DURGOTSAB COMMITTEE, Kolkata (FFD Member 2025)","22.596982, 88.411832",Rabindra Sadan / Maidan,4.6,East,Traditional
Bidhannagar (saltlake) Bb Block Residents Association,BIDHANNAGAR (SALTLAKE) BB BLOCK RESIDENTS ASSOCIATION. Kolkata (FFD Member 2025),"22.591848, 88.402210",Salt Lake Sector V/Phoolbagan Metro,4.6,East,Traditional
Shyambazar Palli Sangha,"48. Shyam Bazar St. Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004","22.600015, 88.369400",Shyambazar,4.5,North,Award-winner
Sadananda Smrity Sangha,"4. Muktaram Dey High School, Vivekananda Pally, Balitikuri, Howrah 711113","22.604939, 88.293869",Howrah Maidan,4.9,Howrah,Award-winner
Santi Pally Puja Samity,39A. Badam Talla. Tollygunge. Kolkata 700033,"22.503798, 88.347318",Rabindra Sarobar,4.9,South,Award-winner
Baishnabghatapatuli Upanagari Sporting Club,"Dipak Kumar Mandal Rd, Block K. Baishnabghata Patuli Twp. Kolkata 700094","22.473438, 88.386188",Shahid Khudiram / Kavi Nazrul,4.6,South,Traditional
Naskarpur Sarbojanin Durgotsab (Behala Samsad),"8. Banerjee Para Rd, Naskarpur, Behala, Kolkata 700060","22.506930, 88.312106",Taratala,4.5,South,Award-winner
Behala Buroshibtala Janakalyan Sangha,"31. Buroshibtalla Main Rd, Behala, Kolkata 700038","22.504462, 88.331710",Taratala,4.6,South,Traditional
Kalighat Kishore Sangha,"133, Kalighat Rd, Bhowanipore, Kolkata 700026","22.526830, 88.342931",Jatin Das Park,4.5,South,Award-winner
Shyambazar Nabin Sangha,"SHYAMBAZAR NABIN SANGHA, Kolkata (FFD Member 2025)","22.598203, 88.368687",Shyambazar,4.5,North,Award-winner
Ramlalbazar Youth Association,Block-II. 2/C. Purbachal Main Rd. Ramlal Bazar. Haltu. Kolkata 700078,"22.505048, 88.385786",Kavi Sukanta / Jyotirindra Nandi,4.6,South,Traditional
Lalabagan Yubakbrinda Nabankur Sangha,"Raja Dinendra St. Manicktala, Kolkata 700006","22.589403, 88.376777",Girish Park / Shobhabazar Sutanuti / Shyambazar,4.5,North,Award-winner
Behala Club Sarbojanin Durgotsav Comm.,"57. Banamali Naskar Rd. Panchanan Tala, Behala. Kolkata 700060","22.505184, 88.314010",Taratala / Behala Bazar,4.9,South,Award-winner
Hindusthan Pally Durgapuja Committee,"HINDUSTHAN PALLY DURGAPUJA COMMITTEE, Kolkata (FFD Member 2025)","22.574354, 88.362873",Kalighat / Jatin Das Park Metro,4.9,South,Award-winner
Purbachal Shakti Sangha,"36. Purbachal Main Rd. South Purbachal, Haltu. Kolkata 700078","22.504968, 88.388381",Kavi Sukanta / Jyotirindra Nandi,4.6,South,Traditional
Ahiritola Jubakbrinda Sarbojanin Sarodotsab,"Haro Dhol Lane. 22, Ahiritola, Beniatola. Kolkata, West Bengal 700005","22.594104, 88.360267",Shobhabazar Sutanuti,4.8,North,Community-favorite
Vivekananda Sporting Club Haridevpur,"Mahatma Gandhi Rd, Haridevpur, Paschim Putiary, Kolkata 700041","22.478925, 88.338343",Netaji,4.5,South,Award-winner
Vivekananda Park Athletic Club,"66/A. Vivekananda Park, Paschim Putiary, Kolkata 700082","22.482037, 88.335815",Netaji,4.8,South,Community-favorite
Ahirtola Sarbojanin Durgotsab Samity,"Ahiritola, Beniatola, Kolkata 700005","22.594351, 88.354895",Shobhabazar Sutanuti / Girish Park,4.9,North,Award-winner
Dhakuria Pragati Sangha,"30C, Dhakuria, Tanu Pukur, Kolkata 700031","22.509633, 88.373100",Rabindra Sarobar / Kalighat,4.6,South,Traditional
Jhamapukur Sadharan Durgotsab Samity,"60, Bechu Chatterjee St. Machuabazar, Kolkata, West Bengal 700009","22.580750, 88.367507",Mahatma Gandhi Road/Girish Park,4.8,East,Community-favorite
Nandaram Street Sarbojanin Durgotsab Samity,"43/C, Nandaram Sen St. Sovabazar, Kolkata 700005","22.598300, 88.361171",Shyambazar / Shobhabazar Metro,4.9,North,Award-winner
Behala Trishakti Sangha,"47/1/1, Nafar Chandra Das Rd, Auddy Bagan Basti. Behala, Kolkata 700034","22.498258, 88.318927",Behala Bazar,4.5,South,Award-winner
Santoshpur Tricon Park,"2/1. South Rd. South Park, Santoshpur. Kolkata 700075","22.492915, 88.378266",Satyajit Ray,4.5,South,Award-winner
Uttar Bantra Sarbojanin Durgotsab Committee,UTTAR BANTRA SARBOJANIN DURGOTSAB COMMITTEE. Kolkata (FFD Member 2025),"22.596982, 88.411832",Howrah Maidan Metro,4.8,Howrah,Community-favorite
Tarun Sangha Durga Puja,SR Das Rd. Lake Range. Kalighat. Kolkata 700026,"22.511748, 88.346857",Kalighat/Rabindra Sarobar,4.5,South,Award-winner
Entally Sarbojanin Sri Sri Durga Puja,"13, Gope Ln, Entally, Kolkata 700014","22.556144, 88.368927",Shyambazar / Shobhabazar Metro,4.5,Central,Award-winner
Kabirajbagan Sarbajanin Durgotsav Committee,"KABIRAJBAGAN SARBAJANIN DURGOTSAV COMMITTEE, Kolkata (FFD Member 2025)","22.596982, 88.411832",Salt Lake Sector V/Phoolbagan Metro,4.6,South,Traditional
Paikpara Sarbojanin Durgatsav Samity,"Ganguly Para Lane. Gangulipara, Paikpara. Kolkata. West Bengal 700037","22.613089, 88.383986",Belgachhia,4.9,North,Award-winner
Paddapukur Balak Sangha,"21. Prannath Pundit Street. Chakraberia. Bhowanipore, Kolkata 700020","22.531009, 88.353397",Netaji Bhavan / Jatin Das Park,4.6,South,Traditional
Parasar Nabodaya Sangha,"Deshbondhu Nagar, Sodepur, Khardaha 700115","22.682742, 88.346525",Baranagar / Dakshineswar,4.8,Others,Community-favorite
Sinthee Agragami Sangha,W-block. Binayak Enclave. Sadhan Pally. Sinthee. Kolkata 700050,"22.632246, 88.386666",Dum Dum/ Noapara,4.8,North,Community-favorite
Pally Unnayan Samity Paschim Putiary,400. Banerjee Para Rd. Kudghat. Paschim Putiary. Kolkata 700041,"22.479360, 88.342284",Netaji,4.9,South,Award-winner
Swadhinata Udjapan Samity (kakurgachi CIT Rd),"SWADHINATA UDJAPAN SAMITY (KAKURGACHI CITRD), Kolkata (FFD Member 2025)","22.580217, 88.390587",Salt Lake Sector V / Phoolbagan Metro,4.6,South,Traditional
Monotosh Smrity Sangha,"16/3, Kali Ln, Anami Sangha, Kalighat, Kolkata 700026","22.518888, 88.342842",Kalighat,4.8,South,Community-favorite
Roy Bahadur Road Netaji Sporting Club,Block A. Lake Town. South Dumdum 700089,"22.606960, 88.403172",Belgachhia / Dum Dum,4.8,East,Community-favorite
Bhukailash Road Sarbojanin Durgotsab Samity,"BHUKAILASH ROAD SARBOJANIN DURGOTSAB SAMITY, Kolkata (FFD Member 2025)","22.532133, 88.318618",Tollygunge / Behala Chowrasta Metro,4.6,South,Traditional
Pathakpara Balak Sangha,"67/F, Pathak Para Rd, Naskarpur, Behala, Kolkata 700060","22.507987, 88.317095",Taratala,4.6,South,Traditional
Narasingha Avenue Association,"190, Narasingha Ave. Nagerbazar, Dum Dum, Kolkata 700074","22.626339, 88.415076",Dum Dum Cantonment,4.7,North,Famous-for-lighting
Ultadanga Bidhan Sangha,"NACIN, Telenga Bagan, Ultadanga, Kolkata 700067","22.593374, 88.384417",Belgachhia / Shyambazar,4.5,North,Award-winner
Dhakuria Sarbojanin Durgotsab,"33 Sarat Ghosh Garden Rd, Dhakuria, Kolkata 700031","22.511387, 88.374054",VIP Bazar / Hemanta Mukhopadhyay / Kavi Sukanta,4.5,South,Award-winner
Sarkarbagan Adhibasibrinda Durgotsab,Nilmoni Mitra Row. Tala. Kolkata 700002,"22.606024, 88.378334",Shyambazar,4.5,North,Award-winner
Thakurpukur Club Pally Mangal Colony,"889 Padma Pukur, Paschim Barisha, Kolkata 700063","22.465728, 88.307424",Thakurpukur,4.9,South,Award-winner
Ariadaha Pragati Sangha,"ARIADAHA PRAGATI SANGHA, Kolkata (FFD Member 2025)","22.662522, 88.363416",Dakshineswar,4.6,Others,Traditional
Garia Sarbojanin Durgotsab Committee,"Garia Place, Garia, Kolkata 700084","22.460010, 88.382171",Kavi Nazrul,4.7,South,Famous-for-lighting
Charer Palli Sarbojanin Durgotsab Committee,26/5-B. Northern Ave. Paikpara. Kolkata. West Bengal 700030,"22.618425, 88.387994",Dum Dum,4.5,North,Award-winner
Howrah Anusilan Samity,"64/63, Gopal Banerjee Ln. Naora, Shibpur. Howrah 711101","22.576962, 88.325230",Howrah Maidan,4.6,Howrah,Traditional
